task_id,task_type,task_complexity,task_priority,estimated_effort_hours,team_experience_level,total_members,past_projects_completed,team_skillset_match,team_availability,assigned_team
f0f9c6bc,Bug Fixing,1,1,39.67,3,13,4,67.19,30.34,T8
a96b4054,Testing,3,3,29.3,3,7,4,77.4,36.1,T4
3abad251,Feature Development,1,3,48.97,3,9,1,76.65,92.06,T2
46b79443,Feature Development,2,3,41.25,2,8,2,97.57,36.18,T10
59fed919,Bug Fixing,1,3,36.19,2,11,4,62.98,58.61,T3
ce26d5ac,Code Review,1,1,7.51,1,8,2,55.96,42.37,T10
28e14e34,Code Review,3,3,22.7,3,8,2,97.23,58.49,T10
4d4ba4a2,Feature Development,3,2,49.23,2,7,4,91.66,50.02,T4
7e88de17,Code Review,2,3,9.17,2,6,1,82.77,43.25,T6
76b24537,Feature Development,3,3,24.34,3,15,1,81.81,46.98,T9
88dccaac,Testing,2,2,48.7,2,10,1,63.52,70.8,T5
8200a691,Bug Fixing,1,1,20.55,3,15,1,94.25,80.01,T9
c55c28f8,Testing,3,2,46.1,1,5,3,84.04,54.99,T7
546e5e42,Code Review,3,1,45.5,2,10,1,99.53,77.34,T5
8e46c546,Feature Development,3,2,12.51,2,10,1,85.09,62.7,T5
441c1cab,Code Review,3,1,9.26,1,19,1,56.43,55.6,T1
f6c7cfad,Testing,2,2,23.99,1,5,3,65.87,65.9,T7
06c8bbdd,Code Review,3,1,32.7,2,11,4,57.74,61.84,T3
c9b3ec4e,Testing,2,1,19.53,1,7,4,58.46,41.0,T4
8d0912fb,Testing,2,2,24.22,1,7,4,90.55,76.5,T4
529b7961,Testing,3,1,45.0,1,19,1,89.93,36.12,T1
a9db64e2,Feature Development,2,3,7.39,3,6,1,55.81,50.85,T6
28e14e34,Code Review,3,3,22.7,3,8,2,97.23,58.49,T10
c9b3ec4e,Testing,2,1,19.53,1,7,6,58.46,41.0,T4
e2d09784,Feature Development,3,2,45.35,2,15,1,73.37,62.56,T9
3b10d9f6,Feature Development,3,1,34.18,3,10,1,54.35,33.89,T5
8d0912fb,Testing,2,2,24.22,1,7,6,90.55,76.5,T4
2c84c6d9,Bug Fixing,1,1,27.0,1,8,3,90.19,69.57,T10
ccaeb859,Testing,3,2,25.0,1,15,1,62.34,61.37,T9
f0f9c6bc,Bug Fixing,1,1,39.67,3,13,4,67.19,30.34,T8
11da960d,Feature Development,1,2,24.17,1,9,1,92.14,54.49,T2
879c9019,Code Review,1,2,20.96,3,15,3,77.4,60.8,T9
969b57d2,Testing,3,3,49.37,2,9,1,94.13,87.47,T2
1a8d858e,Bug Fixing,3,2,15.02,3,10,2,95.04,93.01,T5
9e0c7958,Testing,3,3,20.64,1,15,3,65.51,80.73,T9
74ad27d6,Bug Fixing,3,1,47.82,2,10,2,88.16,75.31,T5
e3bac0c6,Feature Development,2,1,47.14,2,15,3,98.41,48.15,T9
f07adefc,Bug Fixing,2,3,15.37,1,8,3,71.65,92.76,T10
bc8e2087,Feature Development,2,3,35.76,1,8,3,69.52,42.06,T10
bea79400,Feature Development,3,1,17.59,1,8,3,98.17,83.79,T10
441c1cab,Code Review,3,1,9.26,1,19,1,56.43,55.6,T1
0326e83a,Code Review,1,2,11.64,3,10,2,93.95,47.66,T5
a61d209b,Bug Fixing,2,3,23.22,3,11,4,93.47,81.17,T3
d2cfabed,Feature Development,3,3,29.95,3,15,3,65.76,56.85,T9
e4953b00,Feature Development,3,2,24.72,1,8,3,85.6,64.93,T10
1e33f457,Code Review,2,2,6.41,3,7,6,61.18,82.71,T4
87d513d7,Bug Fixing,1,2,13.2,2,5,3,85.38,76.15,T7
e5242090,Code Review,2,1,40.18,1,13,4,99.98,83.47,T8
e5242090,Code Review,2,1,40.18,1,13,4,99.98,83.47,T8
a93ebada,Bug Fixing,3,1,32.08,3,13,5,91.04,38.3,T8
d8fd4d1d,Bug Fixing,2,2,15.95,3,10,2,81.27,84.25,T5
969b57d2,Testing,3,3,49.37,2,9,1,94.13,87.47,T2
b70c3bec,Code Review,1,3,27.48,1,7,6,88.31,92.03,T4
2e7cfac2,Bug Fixing,3,1,21.25,1,9,3,97.12,67.18,T2
5e8f6b80,Feature Development,2,3,45.18,2,7,6,67.68,44.63,T4
a2868177,Feature Development,1,3,44.15,1,15,3,92.29,79.62,T9
546aef1e,Feature Development,1,2,38.83,3,8,5,64.46,68.07,T10
c4e92369,Bug Fixing,2,3,21.48,1,6,1,74.16,54.16,T6
269f4f09,Bug Fixing,3,2,15.28,3,10,2,62.34,75.34,T5
41b5da77,Bug Fixing,1,1,34.07,3,15,4,83.71,44.25,T9
6b193524,Bug Fixing,3,1,26.92,1,9,3,61.41,62.77,T2
cabc43c5,Feature Development,1,1,49.86,2,5,3,92.42,98.68,T7
7084df3a,Code Review,1,1,45.98,2,11,4,58.9,49.72,T3
025e85e2,Code Review,3,2,26.31,1,11,5,85.48,61.51,T3
b556c2a3,Testing,1,1,39.35,2,5,4,81.89,33.78,T7
fd6bfb3c,Testing,2,2,24.61,3,8,5,86.92,78.55,T10
762aca73,Feature Development,2,3,18.35,1,7,8,99.47,44.65,T4
5850b932,Testing,3,2,49.68,1,19,1,74.46,39.15,T1
c55c28f8,Testing,3,2,46.1,1,5,4,84.04,54.99,T7
0ba8404f,Testing,3,3,15.61,2,7,8,86.24,62.21,T4
cabc43c5,Feature Development,1,1,49.86,2,5,4,92.42,98.68,T7
ad551098,Feature Development,1,3,18.12,3,15,4,68.01,52.5,T9
1d31f7e2,Feature Development,3,1,19.79,1,13,5,79.43,91.77,T8
441c1cab,Code Review,3,1,9.26,1,19,2,56.43,55.6,T1
762aca73,Feature Development,2,3,18.35,1,7,8,99.47,44.65,T4
342cca78,Testing,3,3,22.79,3,5,4,50.35,48.83,T7
29c1a1bf,Testing,2,2,36.58,1,15,4,81.86,50.66,T9
4c0218a9,Testing,1,2,26.59,1,5,4,75.98,63.37,T7
342cca78,Testing,3,3,22.79,3,5,6,50.35,48.83,T7
8200a691,Bug Fixing,1,1,20.55,3,15,4,94.25,80.01,T9
4f09f7bd,Code Review,3,3,37.8,2,9,3,97.12,34.54,T2
2ff1a221,Code Review,3,2,9.18,3,5,6,50.89,43.99,T7
f05bec5a,Feature Development,3,2,17.44,1,9,3,70.85,99.05,T2
4b1ecb46,Bug Fixing,1,1,32.76,3,10,3,57.95,84.65,T5
41de5700,Feature Development,2,2,23.34,2,10,3,68.29,75.52,T5
86882bdd,Code Review,3,1,34.69,1,5,6,96.93,36.08,T7
56fab7d3,Code Review,1,1,18.35,3,9,3,63.88,49.5,T2
30de7237,Code Review,2,2,40.18,2,11,5,58.11,38.11,T3
2db8b47c,Code Review,3,3,49.6,2,5,6,56.93,39.8,T7
b70c3bec,Code Review,1,3,27.48,1,7,8,88.31,92.03,T4
94079ee6,Bug Fixing,1,2,18.29,2,7,8,61.53,96.75,T4
74013e6d,Code Review,3,2,48.48,3,11,5,68.05,53.05,T3
f073eb00,Bug Fixing,1,2,49.01,3,9,5,64.54,73.46,T2
0b1bda4e,Feature Development,2,2,30.72,1,6,1,77.62,62.67,T6
2dace4ac,Code Review,2,3,33.33,1,11,5,51.04,63.76,T3
c9fd1582,Feature Development,3,1,42.39,1,11,5,81.38,89.78,T3
fd751fec,Feature Development,1,3,32.37,1,6,2,83.61,37.01,T6
d7abb909,Testing,3,1,5.85,3,6,2,88.95,65.08,T6
8d0912fb,Testing,2,2,24.22,1,7,9,90.55,76.5,T4
950521e8,Testing,2,2,27.85,1,5,6,55.02,81.62,T7
bea79400,Feature Development,3,1,17.59,1,8,5,98.17,83.79,T10
aa52fa37,Testing,2,3,27.36,1,7,9,79.9,66.1,T4
18204ca1,Feature Development,3,2,37.2,2,19,2,73.33,44.86,T1
c3dcb037,Code Review,2,2,33.96,2,19,2,89.85,60.94,T1
c3dcb037,Code Review,2,2,33.96,2,19,2,89.85,60.94,T1
f629302d,Bug Fixing,3,3,36.79,2,6,2,56.09,36.61,T6
45d7bcec,Code Review,1,3,24.18,1,5,8,76.91,39.9,T7
e37840d8,Testing,1,2,37.97,2,15,4,50.91,87.77,T9
8ec31302,Code Review,3,1,15.89,2,15,5,90.35,82.34,T9
f2ded4c5,Testing,2,3,32.41,1,5,8,64.04,50.4,T7
f21b9210,Bug Fixing,3,1,31.59,1,8,5,51.12,30.66,T10
816d8b65,Bug Fixing,1,3,29.18,2,15,5,98.5,64.27,T9
6a75471b,Feature Development,2,3,15.62,1,19,2,80.71,33.66,T1
3814dee2,Bug Fixing,2,1,28.48,2,5,8,57.6,98.32,T7
cabc43c5,Feature Development,1,1,49.86,2,5,8,92.42,98.68,T7
e96cd7a7,Testing,1,3,30.07,3,8,5,62.67,84.21,T10
a4d30e5a,Code Review,3,1,13.21,2,15,5,50.26,50.25,T9
ff7ebad8,Code Review,1,1,23.02,3,6,2,93.41,44.0,T6
76aa2b34,Code Review,1,2,8.39,3,5,8,50.15,78.75,T7
6f7211dc,Testing,3,3,35.95,3,8,7,55.4,81.94,T10
